Abbottabad, Khyber Pakhtunkhwa, PK2, Abbottabad, PK201, Abbottabad, PK20101, 
Renala Khurd, Punjab, PK6, Okara, PK626, Renala Khurd, PK62603, 
Rohri, Sindh, PK8, Sukkur, PK818, Rohri, PK81802, 
Rojhan, Punjab, PK6, Rajanpur, PK629, Rojhan, PK62904, 
Sadiqabad, Punjab, PK6, Rahim Yar Khan, PK628, Sadiqabad, PK62804, 
Safdarabad, Punjab, PK6, Nankana Sahib, PK624, Safdarabad, PK62402, 
Safi, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Safi, PK23505, 
Sahiwal (Sahiwal), Punjab, PK6, Sahiwal, PK631, Sahiwal (Sahiwal), PK63102, 
Sahiwal (Sardogha), Punjab, PK6, Sargodha, PK632, Sahiwal (Sardogha), PK63203, 
Sakrand, Sindh, PK8, Shaheed Benazirabad, PK816, Sakrand, PK81604, 
Salarzai Tehsil, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Salarzai Tehsil, PK23206, 
Salehpat, Sindh, PK8, Sukkur, PK818, Salehpat, PK81803, 
Sam Ranizai, Khyber Pakhtunkhwa, PK2, Malakand PA, PK215, Sam Ranizai, PK21501, 
Samar Bagh, Khyber Pakhtunkhwa, PK2, Lower Dir, PK214, Samar Bagh, PK21401, 
Samaro, Sindh, PK8, Umerkot, PK823, Samaro, PK82303, 
Sambrial, Punjab, PK6, Sialkot, PK634, Sambrial, PK63403, 
Sangan, Balochistan, PK7, Sibi, PK728, Sangan, PK72803, 
Sanghar, Sindh, PK8, Sanghar, PK814, Sanghar, PK81403, 
Sangla Hill, Punjab, PK6, Nankana Sahib, PK624, Sangla Hill, PK62403, 
Sanni, Balochistan, PK7, Kachhi, PK711, Sanni, PK71103, 
Sarai Alamgir, Punjab, PK6, Gujrat, PK610, Sarai Alamgir, PK61003, 
Sarai Naurang, Khyber Pakhtunkhwa, PK2, Lakki Marwat, PK213, Sarai Naurang, PK21302, 
Sararogha, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Sararogha, PK23804, 
Sargodha, Punjab, PK6, Sargodha, PK632, Sargodha, PK63204, 
Sehwan, Sindh, PK8, Jamshoro, PK806, Sehwan, PK80602, 
Serwekai, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Serwekai, PK23805, 
Shah Bander, Sindh, PK8, Sujawal, PK824, Shah Bander, PK82404, 
Shahdadkot, Sindh, PK8, Qambar Shahdadkot, PK815, Shahdadkot, PK81503, 
Shahdadpur, Sindh, PK8, Sanghar, PK814, Shahdadpur, PK81404, 
Shaheed Fazal Rahu, Sindh, PK8, Badin, PK801, Shaheed Fazal Rahu, PK80103, 
Shahkot, Punjab, PK6, Nankana Sahib, PK624, Shahkot, PK62404, 
Shahpur, Punjab, PK6, Sargodha, PK632, Shahpur, PK63205, 
Shakargarh, Punjab, PK6, Narowal, PK625, Shakargarh, PK62502, 
Sharqpur, Punjab, PK6, Sheikhupura, PK633, Sharqpur, PK63303, 
Sheerani, Balochistan, PK7, Sheerani, PK727, Sheerani, PK72701, 
Sheikhupura, Punjab, PK6, Sheikhupura, PK633, Sheikhupura, PK63304, 
Shewa, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Shewa, PK23608, 
Shikarpur, Sindh, PK8, Shikarpur, PK817, Shikarpur, PK81704, 
Shinkai, Balochistan, PK7, Killa Saifullah, PK716, Shinkai, PK71606, 
Shorkot, Punjab, PK6, Jhang, PK612, Shorkot, PK61203, 
Shuabad, Punjab, PK6, Multan, PK622, Shuabad, PK62204, 
Sialkot, Punjab, PK6, Sialkot, PK634, Sialkot, PK63404, 
Sibi, Balochistan, PK7, Sibi, PK728, Sibi, PK72804, 
Sillanwali, Punjab, PK6, Sargodha, PK632, Sillanwali, PK63206, 
Sinjawi, Balochistan, PK7, Ziarat, PK731, Sinjawi, PK73101, 
Sinjhoro, Sindh, PK8, Sanghar, PK814, Sinjhoro, PK81405, 
Sobodhero, Sindh, PK8, Khairpur, PK809, Sobodhero, PK80908, 
Sohawa, Punjab, PK6, Jhelum, PK613, Sohawa, PK61304, 
Sohbatpur, Balochistan, PK7, Sohbatpur, PK733, Sohbatpur, PK73301, 
Sonmiani, Balochistan, PK7, Las Bela, PK718, Sonmiani, PK71808, 
Spinwam, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Spinwam, PK23609, 
Sui, Balochistan, PK7, Dera Bugti, PK705, Sui, PK70503, 
Sujawal, Sindh, PK8, Sujawal, PK824, Sujawal, PK82405, 
Sukkur, Sindh, PK8, Sukkur, PK818, Sukkur, PK81804, 
Summundari, Punjab, PK6, Faisalabad, PK608, Summundari, PK60805, 
Surab, Balochistan, PK7, Kalat, PK710, Surab, PK71002, 
Swabi, Khyber Pakhtunkhwa, PK2, Swabi, PK221, Swabi, PK22102, 
Swat Ranizai, Khyber Pakhtunkhwa, PK2, Malakand PA, PK215, Swat Ranizai, PK21502, 
Taftan, Balochistan, PK7, Chagai, PK704, Taftan, PK70403, 
Takht Bhai, Khyber Pakhtunkhwa, PK2, Mardan, PK217, Takht Bhai, PK21703, 
Takht E Nasrati, Khyber Pakhtunkhwa, PK2, Karak, PK210, Takht E Nasrati, PK21003, 
Talagang, Punjab, PK6, Chakwal, PK605, Talagang, PK60504, 
Tall, Khyber Pakhtunkhwa, PK2, Hangu, PK208, Tall, PK20802, 
Tamboo, Balochistan, PK7, Nasirabad, PK722, Tamboo, PK72204, 
Tandlianwala, Punjab, PK6, Faisalabad, PK608, Tandlianwala, PK60806, 
Tando Adam, Sindh, PK8, Sanghar, PK814, Tando Adam, PK81406, 
Tando Allah Yar, Sindh, PK8, Tando Allah Yar, PK819, Tando Allah Yar, PK81901, 
Tando Bago, Sindh, PK8, Badin, PK801, Tando Bago, PK80104, 
Tando Ghulam Hyder, Sindh, PK8, Tando Muhammad Khan, PK820, Tando Ghulam Hyder, PK82002, 
Tando Muhammad Khan, Sindh, PK8, Tando Muhammad Khan, PK820, Tando Muhammad Khan, PK82001, 
Tangi, Khyber Pakhtunkhwa, PK2, Charsadda, PK205, Tangi, PK20502, 
Tangwani, Sindh, PK8, Kashmore, PK808, Tangwani, PK80803, 
Tank, Khyber Pakhtunkhwa, PK2, Tank, PK229, Tank, PK22901, 
Taunsa, Punjab, PK6, Dera Ghazi Khan, PK607, Taunsa, PK60703, 
Taxila, Punjab, PK6, Rawalpindi, PK630, Taxila, PK63007, 
Thano Bula Khan, Sindh, PK8, Jamshoro, PK806, Thano Bula Khan, PK80603, 
Thatta, Sindh, PK8, Thatta, PK822, Thatta, PK82209, 
Thul, Sindh, PK8, Jacobabad, PK805, Thul, PK80503, 
Tiarza, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Tiarza, PK23806, 
Timergara, Khyber Pakhtunkhwa, PK2, Lower Dir, PK214, Timergara, PK21402, 
Toba Tek Singh, Punjab, PK6, Toba Tek Singh, PK635, Toba Tek Singh, PK63503, 
Toi Khulla, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Toi Khulla, PK23807, 
Topi, Khyber Pakhtunkhwa, PK2, Swabi, PK221, Topi, PK22103, 
Tor Ghar, Khyber Pakhtunkhwa, PK2, Tor Ghar, PK231, Tor Ghar, PK23101, 
Totalai, Khyber Pakhtunkhwa, PK2, Buner, PK204, Totalai, PK20406, 
Tump, Balochistan, PK7, Kech, PK712, Tump, PK71206, 
Ubauro, Sindh, PK8, Ghotki, PK803, Ubauro, PK80305, 
Umerkot, Sindh, PK8, Umerkot, PK823, Umerkot, PK82304, 
Upper Kurram, Khyber Pakhtunkhwa, PK2, Kurram, PK234, Upper Kurram, PK23403, 
Upper Momand, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Upper Momand, PK23506, 
Upper Orakzai, Khyber Pakhtunkhwa, PK2, Orakzai, PK237, Upper Orakzai, PK23704, 
Usta Muhammad, Balochistan, PK7, Jaffarabad, PK708, Usta Muhammad, PK70804, 
Uthal, Balochistan, PK7, Las Bela, PK718, Uthal, PK71809, 
Utman Khel Tehsil, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Utman Khel Tehsil, PK23207, 
Vehari, Punjab, PK6, Vehari, PK636, Vehari, PK63603, 
Wadh, Balochistan, PK7, Khuzdar, PK714, Wadh, PK71403, 
Wana, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Wana, PK23808, 
Warah, Sindh, PK8, Qambar Shahdadkot, PK815, Warah, PK81504, 
Wari, Khyber Pakhtunkhwa, PK2, Upper Dir, PK230, Wari, PK23004, 
Washuk, Balochistan, PK7, Washuk, PK729, Washuk, PK72904, 
Wazir, Khyber Pakhtunkhwa, PK2, FR Bannu, PK239, Wazir, PK23901, 
Wazirabad, Punjab, PK6, Gujranwala, PK609, Wazirabad, PK60904, 
Yaka Ghund, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Yaka Ghund, PK23507, 
Yazman, Punjab, PK6, Bahawalpur, PK603, Yazman, PK60304, 
Zehri, Balochistan, PK7, Khuzdar, PK714, Zehri, PK71404, 
Zhob, Balochistan, PK7, Zhob, PK730, Zhob, PK73002, 
Ziarat, Balochistan, PK7, Ziarat, PK731, Ziarat, PK73102, 
